CD_RGI,NM_RGI,populacao,domestico_t_ano,reciclavel_t_ano
420001,Florianópolis,1292069.0,448024.92574999994,44802.492575
420002,Criciúma,449848.0,155984.794,15598.4794
420003,Tubarão,328951.0,114063.75925,11406.375925
420004,Araranguá,219172.0,75997.89099999999,7599.7891
420005,Lages,295210.0,102364.06749999998,10236.40675
420006,Curitibanos,69785.0,24197.94875,2419.794875
420007,Chapecó,458186.0,158875.9955,15887.599549999999
420008,Joaçaba - Herval d'Oeste,182051.0,63126.18425,6312.618425000001
420009,São Miguel do Oeste,172124.0,59683.996999999996,5968.3997
420010,Concórdia,151155.0,52412.99625,5241.299625
420011,Xanxerê,129542.0,44918.6885,4491.86885
420012,Maravilha,55695.0,19312.24125,1931.224125
420013,São Lourenço do Oeste,45506.0,15779.205499999998,1577.9205499999998
420014,Caçador,100516.0,34853.923,3485.3923
420015,Videira,128764.0,44648.917,4464.8917
420016,Joinville,1064805.0,369221.13375000004,36922.113375
420017,Mafra,235537.0,81672.45475,8167.245475
420018,São Bento do Sul - Rio Negrinho,135039.0,46824.77325,4682.477325
420019,Blumenau,658723.0,228412.20025,22841.220025
420020,Itajaí,890805.0,308886.63375,30888.663375
420021,Brusque,233740.0,81049.345,8104.934499999999
420022,Rio do Sul,201743.0,69954.38524999999,6995.438525
420023,Ibirama - Presidente Getúlio,59703.0,20702.01525,2070.201525
420024,Ituporanga,51692.0,17924.201,1792.4201000000003
